batch_time	read_number	channel	num_samples	read_id	sequence_length	decision
1691767789.7705953	318	203	5000	9dabe963-3994-4523-b40f-f18d97b0fcc9	485	unblock
1691767952.524564	2245	152	5001	fb7754b6-ac80-42b0-a5a6-a8b1673c5925	356	unblock
1691768036.607736	2192	117	5000	310fa5bf-e40e-4de4-8578-96d306bf6910	338	no_decision
1691768110.485725	3467	169	5010	fefe313c-0a96-4ab8-beb8-a94cdd77d5b5	335	unblock
1691768299.474856	4258	120	5001	9747e2c1-b2a9-4331-b9a0-3a2e177a1ea5	424	unblock
1691768349.2505212	4026	2	5003	919a07fd-5f49-4374-b77d-2db7778fcae0	448	unblock
1691768692.9258816	8581	53	5011	36f461f5-c35d-4320-a522-d2dc112ed225	361	unblock
1691768698.7921722	8486	158	5023	5be74047-3c30-4280-8f71-aaad5d8210a0	324	no_decision
1691768811.275238	8658	177	5016	e3956191-5db0-4a07-8a76-b7688eae0a5c	404	unblock
1691768960.4836524	8315	155	5012	490b63ec-2566-4dc1-8bcb-9b240a7015dc	425	unblock
1691769026.4003603	8185	89	5002	80a88538-6507-4145-a3cd-75d6f1ec2179	349	unblock
1691769091.950314	8172	96	5004	fd1c47c8-53ca-4f0d-8eca-4f16c1b5b01b	389	unblock
1691769130.6854627	10107	14	5008	662cd2f8-a21d-4c63-a297-2267e48744a1	369	unblock
1691769255.8747256	9394	167	5004	9946bf66-5676-4f9e-8d1f-3b61e354795a	392	unblock
1691769366.9687588	9888	146	5007	305a1bf6-1e6f-419b-bfcd-093a83e1fed0	360	unblock
1691769570.3025758	10904	146	5005	7f59c3ce-9cd7-474b-b638-fc816d0c150a	417	unblock
1691769570.649007	12073	14	5003	2f0bff5c-7c18-485a-8347-a0312690b83c	435	unblock
1691769589.9145896	9992	180	5004	736e0db9-c203-4cde-9b14-cbcdbb21774d	375	unblock
1691769660.806691	11439	121	5008	d2d6fd5c-43b5-4299-afe1-21d7064742ae	408	unblock
